adjusted_stat_amount,Time Played,Time,season,team,stat_name,stat_amount
16.601142811,505.68807797,139.916666667,2,New York Excelsior,Defensive Assists,8395
15.196761733,443.712951378,112.383333333,2,London Spitfire,Defensive Assists,6743
8327.849737493,505.68807797,70188.238789596,2,New York Excelsior,Healing Done,4211294.32737576
551.106442239,384.776469832,3534.213189107,2,Florida Mayhem,Time Alive,212052.791346402
10.138895741,470.070915179,79.433333333,2,Shanghai Dragons,Offensive Assists,4766
8191.928594973,440.008462553,60075.2984403,2,Los Angeles Valiant,All Damage Done,3604517.90641797
8581.639641598,447.512198261,64006.473678256,2,Los Angeles Gladiators,All Damage Done,3840388.42069535
4.205351934,501.741598067,35.166666667,2,Seoul Dynasty,Deaths,2110
600.000000000,382.373863434,3823.738634337,2,Houston Outlaws,Time Played,229424.318060248
3.624764118,505.68807797,30.55,2,New York Excelsior,Deaths,1833
560.119018844,379.634997627,3544.013039829,2,Washington Justice,Time Alive,212640.782389727
4.976183595,369.158405218,30.616666667,2,Chengdu Hunters,Deaths,1837
7980.765794167,410.695488003,54627.741707886,2,Boston Uprising,Healing Done,3277664.50247314
12.741800562,410.695488003,87.216666667,2,Boston Uprising,Defensive Assists,5233
600.000000000,444.011463614,4440.114636141,2,Philadelphia Fusion,Time Played,266406.878168463
6224.000694214,470.070915179,48762.028373398,2,Shanghai Dragons,All Damage Done,2925721.70240385
8229.868758408,369.158405218,50635.420433453,2,Chengdu Hunters,Healing Done,3038125.22600719
8155.813938066,398.86512098,54217.828551619,2,Paris Eternal,Healing Done,3253069.71309713
8429.755459809,440.008462553,61819.395659469,2,Los Angeles Valiant,Healing Done,3709163.73956812
600.000000000,384.776469832,3847.764698319,2,Florida Mayhem,Time Played,230865.881899129
5.247387876,398.86512098,34.883333333,2,Paris Eternal,Deaths,2093
600.000000000,402.458129245,4024.581292449,2,Dallas Fuel,Time Played,241474.877546931
9.570663502,501.741598067,80.033333333,2,Seoul Dynasty,Offensive Assists,4802
555.594635684,470.070915179,4352.814647744,2,Shanghai Dragons,Time Alive,261168.87886465
15.555816042,501.741598067,130.083333333,2,Seoul Dynasty,Defensive Assists,7805
9.032841072,405.409546213,61.033333333,2,Guangzhou Charge,Offensive Assists,3662
8.529627608,384.776469832,54.7,2,Florida Mayhem,Offensive Assists,3282
16.078425097,470.070915179,125.966666667,2,Shanghai Dragons,Defensive Assists,7558
8006.201144315,443.712951378,59207.585651163,2,London Spitfire,Healing Done,3552455.1390698
9.977219876,444.011463614,73.833333333,2,Philadelphia Fusion,Offensive Assists,4430
600.000000000,410.695488003,4106.954880029,2,Boston Uprising,Time Played,246417.292801767
551.852869272,369.158405218,3395.352085592,2,Chengdu Hunters,Time Alive,203721.125135523
9.025574422,383.798286756,57.733333333,2,Toronto Defiant,Offensive Assists,3464
600.000000000,568.650414359,5686.504143587,2,Vancouver Titans,Time Played,341190.248615211
552.477865927,410.695488003,3781.669445966,2,Boston Uprising,Time Alive,226900.16675794
8827.656368140,477.814209993,70299.660893874,2,Atlanta Reign,All Damage Done,4217979.65363243
6988.519119175,384.776469832,44816.961933825,2,Florida Mayhem,All Damage Done,2689017.71602952
8173.976384730,443.712951378,60448.319769376,2,London Spitfire,All Damage Done,3626899.18616255
600.000000000,470.070915179,4700.709151793,2,Shanghai Dragons,Time Played,282042.549107555
10.721877354,568.650414359,101.616666667,2,Vancouver Titans,Offensive Assists,6097
5.170332465,382.373863434,32.95,2,Houston Outlaws,Deaths,1977
6644.595558925,382.373863434,42345.327913706,2,Houston Outlaws,All Damage Done,2540719.67482236
4.032354399,568.650414359,38.216666667,2,Vancouver Titans,Deaths,2293
564.086902443,505.68807797,4754.200358407,2,New York Excelsior,Time Alive,285252.021504401
550.645686867,477.814209993,4385.105564275,2,Atlanta Reign,Time Alive,263106.333856493
8944.098699110,447.512198261,66709.887838365,2,Los Angeles Gladiators,Healing Done,4002593.27030188
9.426357877,495.313254703,77.816666667,2,Hangzhou Spark,Offensive Assists,4669
12.579311663,382.373863434,80.166666667,2,Houston Outlaws,Defensive Assists,4810
8907.078468532,495.313254703,73529.900435725,2,Hangzhou Spark,All Damage Done,4411794.02614347
8.585436419,410.695488003,58.766666667,2,Boston Uprising,Offensive Assists,3526
8459.087689321,383.798286756,54109.722711337,2,Toronto Defiant,Healing Done,3246583.36268024
