adjusted_stat_amount,Time Played,Time,season,team,stat_name,stat_amount
9343.940999081,178.47144098,27793.776908969,3,Shanghai Dragons,Damage Taken,1667626.61453813
92.409987596,171.498004536,264.135474532,3,Houston Outlaws,Objective Time,15848.128471893
600.000000001,171.498004536,1714.980045362,3,Houston Outlaws,Time Played,102898.802721742
93.381185378,152.847635931,237.884890424,3,Florida Mayhem,Objective Time,14273.093425415
555.000246123,152.847635931,1413.841259351,3,Florida Mayhem,Time Alive,84830.475561031
102.864186416,175.363303456,300.643392288,3,Philadelphia Fusion,Objective Time,18038.603537263
600.000000000,156.263558982,1562.635589819,3,Washington Justice,Time Played,93758.135389122
538.415323752,113.969599578,1022.716314245,3,Vancouver Titans,Time Alive,61362.978854682
548.081195162,141.782314438,1295.137005835,3,San Francisco Shock,Time Alive,77708.220350075
13749.822655821,130.719142846,29956.083864223,3,London Spitfire,Damage Blocked,1797365.03185341
600.000000000,134.384033342,1343.84033342,3,Seoul Dynasty,Time Played,80630.420005223
