season,stage,map_winner,map_loser,map_name,map_type,match_count
1,Two,New York Excelsior,Philadelphia Fusion,Nepal,Control,3
1,Four,Los Angeles Valiant,New York Excelsior,Horizon Lunar Colony,Assault,2
3,OWL 2020 Regular Season,San Francisco Shock,Atlanta Reign,Junkertown,Escort,4
1,Four,Houston Outlaws,Boston Uprising,King's Row,Hybrid,2
1,One,Houston Outlaws,Dallas Fuel,Junkertown,Escort,2
2,One,Los Angeles Gladiators,Atlanta Reign,Rialto,Escort,2
1,Four - Title,Los Angeles Valiant,Los Angeles Gladiators,King's Row,Hybrid,2
2,One,draw,draw,King's Row,Hybrid,3
1,Three,New York Excelsior,Shanghai Dragons,Route 66,Escort,2
2,One,London Spitfire,Philadelphia Fusion,Volskaya Industries,Assault,5
2,One,Chengdu Hunters,Guangzhou Charge,Dorado,Escort,2
2,Four,Washington Justice,Florida Mayhem,Havana,Escort,2
3,OWL 2020 Regular Season,New York Excelsior,Boston Uprising,Blizzard World,Hybrid,2
2,Two,Vancouver Titans,Houston Outlaws,Rialto,Escort,2
1,Three,New York Excelsior,Los Angeles Gladiators,Oasis,Control,2
2,Four,Chengdu Hunters,Philadelphia Fusion,Busan,Control,2
3,OWL 2020 Regular Season,Washington Justice,Houston Outlaws,Junkertown,Escort,2
2,Four,London Spitfire,Vancouver Titans,Hollywood,Hybrid,2
2,One,Atlanta Reign,Philadelphia Fusion,Volskaya Industries,Assault,6
1,Two,draw,draw,Volskaya Industries,Assault,9
3,OWL 2020 Regular Season,Florida Mayhem,Houston Outlaws,Nepal,Control,2
3,OWL 2020 Regular Season,Florida Mayhem,Atlanta Reign,Busan,Control,3
2,One,Los Angeles Valiant,Hangzhou Spark,Temple of Anubis,Assault,4
2,Two,London Spitfire,Chengdu Hunters,Paris,Assault,5
1,Two,San Francisco Shock,Dallas Fuel,Route 66,Escort,2
2,Four,Atlanta Reign,Paris Eternal,Temple of Anubis,Assault,4
1,Three,Florida Mayhem,Shanghai Dragons,Nepal,Control,3
2,Three,Toronto Defiant,Houston Outlaws,Oasis,Control,2
3,OWL 2020 Regular Season,Paris Eternal,Philadelphia Fusion,Ilios,Control,5
2,Two,Los Angeles Valiant,Washington Justice,Oasis,Control,2
1,Three,Florida Mayhem,Boston Uprising,Junkertown,Escort,2
1,Four,Philadelphia Fusion,Houston Outlaws,Blizzard World,Hybrid,2
2,Three,Seoul Dynasty,Florida Mayhem,Hollywood,Hybrid,2
1,Four,Dallas Fuel,Shanghai Dragons,Dorado,Escort,2
3,OWL 2020 Regular Season,Florida Mayhem,Houston Outlaws,Volskaya Industries,Assault,6
3,OWL 2020 Regular Season,Atlanta Reign,Houston Outlaws,Oasis,Control,2
2,Four,Florida Mayhem,London Spitfire,Lijiang Tower,Control,2
3,OWL 2020 Regular Season,Shanghai Dragons,Seoul Dynasty,Lijiang Tower,Control,2
2,Season 2 Championship,Vancouver Titans,New York Excelsior,Busan,Control,2
2,Four,Seoul Dynasty,Guangzhou Charge,Hanamura,Assault,2
3,OWL 2020 Regular Season,San Francisco Shock,Philadelphia Fusion,Hanamura,Assault,2
2,Two - Title,Shanghai Dragons,San Francisco Shock,Oasis,Control,3
3,OWL 2020 Regular Season,Dallas Fuel,Houston Outlaws,Oasis,Control,3
2,Two,London Spitfire,Boston Uprising,King's Row,Hybrid,4
1,Four,New York Excelsior,Seoul Dynasty,Horizon Lunar Colony,Assault,2
2,Four,Washington Justice,Boston Uprising,Route 66,Escort,2
2,One,Seoul Dynasty,Chengdu Hunters,Horizon Lunar Colony,Assault,4
3,OWL 2020 Regular Season,Shanghai Dragons,Chengdu Hunters,Hanamura,Assault,2
2,Two,Seoul Dynasty,Houston Outlaws,Blizzard World,Hybrid,2
2,One,Philadelphia Fusion,London Spitfire,Hollywood,Hybrid,2
